[2017-10-31 00:39:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2017-10-31 00:39:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento/sample_beta/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
